C1,C2,C3,C4,C5
2,25,34,33,23
29,32,30,36,10
2,37,7,21,12
5,10,22,31,7
15,14,28,40,2
39,26,12,8,16
1,32,39,10,14
12,43,8,13,3
8,11,17,29,42
22,35,25,7,15
7,20,30,38,25
13,14,6,8,22
32,35,14,20,12
16,36,39,42,23
5,33,4,12,24
26,41,35,24,36
