Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6
1,3,8,11,19,37
6,25,35,36,38,40
8,9,15,16,23,29
7,12,13,18,41,42
3,10,27,31,41,42
7,9,14,25,37,40
1,6,15,30,33,40
4,20,21,28,37,39
6,25,28,32,34,41
8,15,20,22,39,40
4,5,12,15,19,41
9,13,20,25,31,41
5,15,16,18,19,22
11,12,17,20,34,41
8,10,15,19,21,25
8,9,11,17,41,42
12,18,20,33,37,40
13,22,25,31,34,40
3,23,32,36,39,41
1,22,25,31,33,40
10,12,24,25,39,42
11,14,26,28,32,42
3,7,12,19,23,42
3,9,16,18,26,27
1,6,14,23,29,40
2,5,22,26,28,31
1,14,22,25,36,37
3,19,28,30,32,39
12,19,21,23,34,39
4,5,15,22,30,39
3,14,15,18,19,25
5,6,12,21,24,33
4,12,18,27,30,33
2,4,7,22,25,34
6,8,10,24,25,32
5,9,11,18,22,36
3,10,13,18,24,37
7,12,17,23,32,39
1,3,4,20,24,27
3,7,29,31,35,37
6,14,30,31,41,42
2,9,20,22,26,34
9,15,17,23,28,42
2,8,18,19,23,35
4,8,9,34,37,39
3,7,10,13,26,36
2,7,10,18,20,34
3,4,15,16,22,26
10,12,25,29,34,40
19,22,27,28,29,35
6,8,15,24,25,42
1,8,21,22,30,37
3,6,10,13,20,26
1,4,12,15,16,22
7,10,16,22,30,41
1,3,30,34,36,37
10,11,16,22,30,41
5,19,34,35,38,42
3,4,14,21,26,42
8,14,15,18,26,32
8,10,11,18,29,35
6,9,20,25,38,39
4,19,24,31,32,37
8,30,37,38,40,42
11,14,21,30,31,35
7,14,23,27,33,34
20,24,26,27,30,31
12,13,17,20,23,25
15,16,30,33,40,42
15,16,30,33,40,42
2,10,21,22,27,41
10,14,18,22,28,39
4,11,27,29,38,42
5,17,26,27,31,41
10,17,22,24,29,37
7,13,17,30,31,38
2,14,18,19,24,39
3,6,7,8,33,35
3,9,12,14,21,34
3,6,8,16,21,31
15,20,25,30,35,36
6,12,17,25,28,30
5,8,11,20,35,40
11,15,29,30,31,33
6,9,16,34,35,40
3,21,28,34,36,39
4,5,9,10,32,36
3,17,20,21,25,33
6,9,12,19,21,40
13,15,16,21,34,40
17,21,36,37,41,42
1,9,13,21,34,36
3,12,15,26,29,32
5,22,23,25,31,32
8,9,26,31,40,41
1,3,13,14,31,32
6,13,14,16,18,19
2,4,14,20,38,42
2,7,10,13,19,32
2,3,13,29,31,42
8,10,19,21,26,42
1,9,16,19,20,25
1,12,22,23,33,40
17,22,28,36,37,39
5,11,15,24,28,36
4,16,23,30,32,39
14,17,20,24,29,42
8,9,22,32,34,35
19,23,27,29,33,41
2,3,4,13,30,32
1,4,6,7,13,29
8,13,16,20,27,37
5,10,12,23,40,42
1,8,13,19,22,33
10,23,35,36,38,40
8,13,21,29,35,40
10,16,18,29,35,37
12,13,14,20,26,40
10,15,21,24,26,37
3,15,25,27,29,31
1,4,17,24,35,40
19,20,21,22,31,35
6,9,14,28,29,37
3,16,20,22,34,36
9,16,22,30,32,40
17,24,28,37,38,41
1,7,16,28,33,35
4,7,15,21,26,38
4,7,32,34,39,41
5,14,24,26,27,33
5,8,13,23,30,42
4,5,12,29,32,39
1,6,12,21,25,42
24,25,26,28,29,35
2,3,10,12,17,28
13,15,16,23,33,40
8,10,16,18,39,40
13,18,23,29,33,39
9,14,16,22,30,38
6,7,26,31,37,38
22,23,25,27,29,36
2,12,15,22,23,26
3,4,8,13,18,39
4,11,12,14,26,28
2,16,23,28,34,41
1,3,15,17,25,34
6,7,14,26,29,40
13,17,19,20,24,27
3,4,8,22,28,29
6,9,19,23,25,37
8,19,20,38,39,40
8,11,16,21,36,42
3,13,17,19,23,27
9,13,23,28,35,41
6,27,28,30,33,35
4,18,24,35,36,38
1,7,11,18,40,41
3,7,10,21,23,30
10,17,29,31,38,42
11,14,19,20,34,39
2,8,9,30,34,36
2,3,10,11,36,37
5,13,17,21,25,36
3,11,16,31,33,42
17,18,21,34,35,38
2,9,17,18,20,35
2,3,6,26,40,41
6,24,31,32,33,35
6,14,16,29,33,34
25,26,29,33,35,40
11,12,15,18,22,25
5,17,19,24,25,36
10,21,22,26,29,33
11,20,28,36,41,42
9,11,13,16,32,37
13,27,31,32,33,42
2,3,23,28,29,39
13,17,19,24,27,38
3,10,19,28,40,42
14,30,35,37,39,41
1,14,18,23,26,31
3,9,11,20,34,37
1,12,17,31,37,39
8,9,14,25,27,35
30,32,34,36,38,39
18,21,25,28,35,42
14,16,18,19,29,42
9,13,26,27,38,42
7,13,15,25,34,41
9,10,17,29,30,40
4,5,10,20,26,28
8,9,13,26,30,34
11,17,28,36,38,40
14,17,19,24,30,32
2,9,20,25,37,41
8,10,12,19,20,42
2,4,7,11,21,37
15,20,22,23,25,37
2,12,21,29,33,39
8,21,22,31,34,38
3,13,15,21,25,35
8,17,20,21,22,39
7,18,28,38,39,41
14,27,29,35,36,40
8,11,12,15,27,35
3,15,20,26,27,35
5,12,13,22,33,42
5,6,10,18,27,28
6,7,14,15,27,29
9,10,15,19,27,35
10,12,21,30,34,41
1,7,12,14,26,38
3,18,28,35,37,39
3,17,18,28,36,40
9,20,22,31,40,41
12,17,25,31,33,35
2,15,22,24,31,41
13,15,27,30,38,42
10,25,30,31,34,38
2,4,5,10,14,35
1,2,5,18,26,39
14,19,20,27,29,37
1,5,7,30,32,38
5,16,24,29,37,42
8,11,13,15,17,29
6,9,10,12,14,39
1,14,23,31,38,40
3,7,10,18,29,36
4,6,7,12,15,18
6,10,16,17,27,42
4,14,18,20,41,42
15,17,19,32,35,38
13,22,24,25,27,35
1,11,12,13,27,41
13,15,16,17,35,40
4,22,25,34,37,42
4,12,24,28,32,35
3,6,8,11,32,42
8,22,28,34,36,40
4,16,22,30,38,39
1,13,29,37,38,39
6,10,25,26,31,42
6,11,25,29,33,36
1,21,28,29,33,37
8,18,22,26,37,42
2,4,34,37,41,42
16,19,20,37,38,41
3,8,11,23,28,40
1,12,17,22,36,38
6,15,24,34,38,39
10,12,18,23,37,38
4,16,24,35,40,42
11,23,24,27,28,38
7,12,15,16,25,31
3,17,19,21,31,41
2,3,14,16,31,41
20,25,27,38,40,41
10,14,26,28,31,37
2,7,14,23,25,29
1,2,16,27,29,30
19,23,24,31,32,42
2,5,11,26,31,33
4,17,21,28,33,35
2,3,8,20,32,39
2,6,11,20,22,34
10,14,21,35,37,42
4,10,13,14,29,30
4,12,17,22,27,34
3,7,9,14,29,41
1,3,10,27,41,42
4,11,12,14,19,32
8,15,24,29,40,42
1,7,9,10,19,38
6,28,34,35,38,39
15,22,27,32,34,35
11,13,18,24,27,28
4,7,16,19,28,32
1,8,12,15,32,39
8,26,27,39,40,42
3,11,14,15,28,34
3,18,19,27,30,31
7,22,23,27,34,40
10,22,26,27,37,41
5,7,24,27,40,42
3,7,12,37,38,41
10,11,14,30,32,41
7,17,19,23,31,39
2,9,18,35,38,40
4,6,15,33,37,38
7,10,15,29,30,34
5,18,21,25,35,42
13,30,31,38,40,42
10,15,17,27,34,42
4,8,12,19,25,32
1,10,21,28,33,42
1,9,14,22,30,41
7,19,24,28,29,40
2,14,22,27,29,40
1,4,7,11,35,38
5,7,13,33,39,40
13,16,21,26,29,37
6,14,18,31,36,38
7,8,19,20,26,32
3,7,18,28,35,37
1,4,15,20,26,40
1,17,24,29,30,40
2,9,10,23,26,37
5,13,21,24,25,34
4,5,18,22,30,37
1,14,26,31,34,35
8,11,15,21,26,41
11,13,18,19,34,38
2,10,11,24,40,42
6,12,14,15,20,25
8,16,25,26,30,33
4,5,13,14,34,41
8,16,21,27,32,42
11,25,29,30,32,35
10,11,19,25,30,40
13,15,18,22,30,41
2,7,23,28,39,42
1,3,18,26,28,29
3,12,17,20,38,40
3,4,6,10,19,38
12,23,25,27,31,35
1,6,26,36,39,41
6,11,17,20,23,32
3,13,19,21,23,27
16,18,22,27,38,41
5,10,12,14,28,33
2,17,18,30,34,37
12,13,25,30,31,32
2,6,12,24,29,39
