draw,drawdate,main1,main2,main3,main4,main5,main6,main7,bonus1,bonus2,sum7,sum9,odd7,even7
160,2016/5/13,1,2,8,24,32,36,37,23,33,140,196,2,5
161,2016/5/20,8,14,17,18,20,22,34,4,30,133,167,1,6
162,2016/5/27,2,7,8,12,14,23,27,6,10,93,109,3,4
163,2016/6/3,1,2,6,16,28,30,31,3,7,114,124,2,5
164,2016/6/10,3,13,20,23,31,35,36,2,11,161,174,5,2
165,2016/6/17,9,11,14,15,16,18,27,6,20,110,136,4,3
166,2016/6/24,14,20,27,29,30,31,37,23,34,188,245,4,3
167,2016/7/1,1,3,5,7,10,26,36,19,37,88,144,4,3
168,2016/7/8,3,9,12,14,19,20,36,2,5,113,120,3,4
169,2016/7/15,1,5,10,20,21,28,30,25,26,115,166,3,4
170,2016/7/22,3,5,6,9,27,32,36,12,24,118,154,4,3
171,2016/7/29,1,2,6,21,23,27,28,11,16,108,135,4,3
172,2016/8/5,5,20,21,27,30,31,36,9,26,170,205,4,3
173,2016/8/12,7,9,19,22,24,27,30,4,28,138,170,4,3
174,2016/8/19,10,13,14,15,23,31,32,4,29,138,171,4,3
175,2016/8/26,6,17,21,31,33,35,37,14,18,180,212,6,1
176,2016/9/2,1,11,12,17,22,30,35,15,16,128,159,4,3
177,2016/9/9,9,15,19,23,25,34,36,2,35,161,198,5,2
178,2016/9/16,6,9,11,15,26,34,36,13,37,137,187,3,4
179,2016/9/23,4,9,12,13,22,26,36,5,33,122,160,2,5
180,2016/9/30,1,8,11,21,23,25,28,5,37,117,159,5,2
181,2016/10/7,7,8,10,13,19,23,24,15,27,104,146,4,3
182,2016/10/14,1,7,10,11,20,23,30,3,37,102,142,4,3
183,2016/10/21,6,15,20,26,33,34,37,19,29,171,219,3,4
184,2016/10/28,7,14,18,22,23,26,34,2,32,144,178,2,5
185,2016/11/4,1,2,4,16,26,29,34,11,12,112,135,2,5
186,2016/11/11,5,14,16,19,31,33,37,21,28,155,204,5,2
187,2016/11/18,4,6,10,23,24,32,36,15,31,135,181,1,6
188,2016/11/25,6,15,19,25,26,30,31,14,18,152,184,4,3
189,2016/12/2,3,7,8,10,18,23,35,1,19,104,124,4,3
190,2016/12/9,2,11,12,18,21,33,36,8,34,133,175,3,4
191,2016/12/16,8,15,21,24,26,27,29,7,30,150,187,4,3
192,2016/12/23,12,13,14,19,25,33,34,3,22,150,175,4,3
193,2016/12/30,4,6,20,21,22,24,31,9,10,128,147,2,5
194,2017/1/6,3,6,27,30,31,32,36,14,23,165,202,3,4
195,2017/1/13,4,7,12,20,23,24,31,26,35,121,182,3,4
196,2017/1/20,7,13,15,25,30,32,37,8,14,159,181,5,2
197,2017/1/27,6,8,10,12,16,21,28,14,23,101,138,1,6
198,2017/2/3,18,21,31,32,33,36,37,5,25,208,238,4,3
199,2017/2/10,1,9,17,20,22,28,29,13,16,126,155,4,3
200,2017/2/17,13,14,17,21,27,28,34,1,11,154,166,4,3
201,2017/2/24,8,11,17,24,28,31,32,12,34,151,197,3,4
202,2017/3/3,3,7,11,16,22,34,37,29,32,130,191,4,3
203,2017/3/10,6,13,17,22,32,33,36,12,28,159,199,3,4
204,2017/3/17,5,19,20,21,30,34,36,7,12,165,184,3,4
205,2017/3/24,4,5,19,31,35,36,37,27,32,167,226,5,2
206,2017/3/31,1,6,7,11,27,35,36,22,26,123,171,5,2
207,2017/4/7,4,5,10,13,28,32,33,19,26,125,170,3,4
208,2017/4/14,4,13,16,18,22,26,33,27,29,132,188,2,5
209,2017/4/21,3,4,6,13,22,31,36,28,34,115,177,3,4
210,2017/4/28,2,4,6,11,15,19,36,23,34,93,150,3,4
211,2017/5/5,7,15,22,25,31,32,35,29,36,167,232,5,2
212,2017/5/12,4,6,10,19,20,24,29,1,27,112,140,2,5
213,2017/5/19,5,13,15,18,19,24,35,20,23,129,172,5,2
