Draw Date,Win Num 1,Win Num 2,Win Num 3,Win Num 4,Win Num 5,,,,,,,,,,,,,Cash Ball
7/30/2015,15,16,26,27,51,,,,,,,,,,,,,3
8/3/2015,25,29,30,38,39,,,,,,,,,,,,,2
8/6/2015,4,5,24,31,42,,,,,,,,,,,,,4
8/10/2015,2,7,11,33,47,,,,,,,,,,,,,2
8/13/2015,8,12,50,51,56,,,,,,,,,,,,,1
8/17/2015,5,19,21,24,27,,,,,,,,,,,,,4
8/20/2015,6,14,25,39,56,,,,,,,,,,,,,1
8/24/2015,2,19,35,37,44,,,,,,,,,,,,,3
8/27/2015,5,29,37,55,58,,,,,,,,,,,,,2
8/31/2015,12,15,44,45,47,,,,,,,,,,,,,2
9/3/2015,20,33,46,49,51,,,,,,,,,,,,,4
9/7/2015,4,21,26,45,46,,,,,,,,,,,,,3
9/10/2015,11,16,50,55,56,,,,,,,,,,,,,1
9/14/2015,3,7,14,19,25,,,,,,,,,,,,,3
9/17/2015,14,15,17,35,56,,,,,,,,,,,,,1
9/21/2015,17,27,39,44,49,,,,,,,,,,,,,1
9/24/2015,14,17,29,39,50,,,,,,,,,,,,,1
9/28/2015,1,25,29,43,54,,,,,,,,,,,,,1
10/1/2015,25,37,39,47,55,,,,,,,,,,,,,4
10/5/2015,8,20,34,41,43,,,,,,,,,,,,,2
10/8/2015,25,27,28,42,53,,,,,,,,,,,,,1
10/12/2015,28,30,36,38,39,,,,,,,,,,,,,4
10/15/2015,7,11,39,40,45,,,,,,,,,,,,,2
10/19/2015,4,8,31,46,54,,,,,,,,,,,,,2
10/22/2015,5,18,45,52,57,,,,,,,,,,,,,4
10/26/2015,17,20,45,49,58,,,,,,,,,,,,,2
10/29/2015,10,31,32,34,51,,,,,,,,,,,,,3
11/2/2015,1,7,12,34,44,,,,,,,,,,,,,1
11/5/2015,13,20,25,31,51,,,,,,,,,,,,,3
11/9/2015,6,9,11,27,37,,,,,,,,,,,,,4
11/12/2015,6,41,44,49,56,,,,,,,,,,,,,1
11/16/2015,6,20,28,34,40,,,,,,,,,,,,,3
11/19/2015,2,7,21,38,48,,,,,,,,,,,,,4
11/23/2015,4,21,42,43,59,,,,,,,,,,,,,3
11/26/2015,13,23,43,47,59,,,,,,,,,,,,,2
11/30/2015,4,7,8,19,53,,,,,,,,,,,,,2
12/3/2015,8,10,27,37,39,,,,,,,,,,,,,3
12/7/2015,3,5,36,40,44,,,,,,,,,,,,,2
12/10/2015,10,47,48,53,58,,,,,,,,,,,,,1
12/14/2015,46,50,56,57,58,,,,,,,,,,,,,4
12/17/2015,26,49,52,54,56,,,,,,,,,,,,,1
12/21/2015,9,27,33,40,49,,,,,,,,,,,,,2
12/24/2015,5,19,36,41,55,,,,,,,,,,,,,4
12/28/2015,7,11,16,23,24,,,,,,,,,,,,,1
12/31/2015,1,5,24,47,55,,,,,,,,,,,,,1
1/4/2016,8,19,25,51,52,,,,,,,,,,,,,4
1/7/2016,14,31,37,54,56,,,,,,,,,,,,,1
1/11/2016,4,20,30,34,36,,,,,,,,,,,,,1
1/14/2016,23,27,29,36,60,,,,,,,,,,,,,1
1/18/2016,14,17,39,43,51,,,,,,,,,,,,,4
1/21/2016,11,13,36,46,48,,,,,,,,,,,,,4
1/25/2016,19,24,38,55,56,,,,,,,,,,,,,1
1/28/2016,4,5,15,25,59,,,,,,,,,,,,,4
2/1/2016,2,9,22,43,44,,,,,,,,,,,,,4
2/4/2016,8,12,23,40,54,,,,,,,,,,,,,4
2/8/2016,13,23,48,57,59,,,,,,,,,,,,,2
2/11/2016,6,31,35,40,55,,,,,,,,,,,,,3
2/15/2016,2,9,30,37,42,,,,,,,,,,,,,3
2/18/2016,21,24,37,38,49,,,,,,,,,,,,,4
2/22/2016,8,9,10,11,27,,,,,,,,,,,,,3
2/25/2016,2,16,19,33,39,,,,,,,,,,,,,3
2/29/2016,3,17,26,47,58,,,,,,,,,,,,,4
3/3/2016,7,13,35,40,45,,,,,,,,,,,,,1
3/7/2016,9,21,24,37,38,,,,,,,,,,,,,4
3/10/2016,6,12,21,40,57,,,,,,,,,,,,,1
3/14/2016,17,28,37,38,41,,,,,,,,,,,,,4
3/17/2016,11,16,34,44,56,,,,,,,,,,,,,2
3/21/2016,13,30,41,50,55,,,,,,,,,,,,,2
3/24/2016,17,24,30,45,48,,,,,,,,,,,,,1
3/28/2016,20,33,49,53,56,,,,,,,,,,,,,2
3/31/2016,9,17,28,38,45,,,,,,,,,,,,,3
4/4/2016,5,26,32,36,58,,,,,,,,,,,,,2
4/7/2016,2,11,32,50,54,,,,,,,,,,,,,3
4/11/2016,15,30,34,38,55,,,,,,,,,,,,,3
4/14/2016,24,25,48,55,56,,,,,,,,,,,,,4
4/18/2016,6,25,29,33,44,,,,,,,,,,,,,3
4/21/2016,6,12,20,40,53,,,,,,,,,,,,,1
4/25/2016,2,18,27,52,57,,,,,,,,,,,,,4
4/28/2016,4,14,22,47,58,,,,,,,,,,,,,2
5/2/2016,10,14,30,55,56,,,,,,,,,,,,,4
5/5/2016,17,18,30,43,49,,,,,,,,,,,,,3
5/9/2016,20,23,38,48,56,,,,,,,,,,,,,2
5/12/2016,4,13,15,16,32,,,,,,,,,,,,,4
5/16/2016,4,20,25,32,45,,,,,,,,,,,,,1
5/19/2016,10,18,37,40,57,,,,,,,,,,,,,1
5/23/2016,4,19,26,33,58,,,,,,,,,,,,,3
5/26/2016,4,13,26,34,43,,,,,,,,,,,,,4
5/30/2016,5,7,27,28,36,,,,,,,,,,,,,1
6/2/2016,18,28,30,31,37,,,,,,,,,,,,,4
6/6/2016,18,25,35,41,57,,,,,,,,,,,,,2
6/9/2016,1,4,12,33,41,,,,,,,,,,,,,1
6/13/2016,35,40,51,55,60,,,,,,,,,,,,,2
6/16/2016,3,17,22,57,59,,,,,,,,,,,,,4
6/20/2016,1,12,14,32,60,,,,,,,,,,,,,4
6/23/2016,1,9,36,38,46,,,,,,,,,,,,,1
6/27/2016,2,3,9,27,37,,,,,,,,,,,,,3
6/30/2016,4,9,10,31,34,,,,,,,,,,,,,1
7/4/2016,2,15,17,18,52,,,,,,,,,,,,,1
7/7/2016,4,8,26,41,55,,,,,,,,,,,,,4
7/11/2016,16,20,25,27,43,,,,,,,,,,,,,4
7/14/2016,3,8,11,24,25,,,,,,,,,,,,,1
7/18/2016,13,45,51,58,60,,,,,,,,,,,,,1
7/21/2016,1,4,18,29,32,,,,,,,,,,,,,3
7/25/2016,11,12,23,26,43,,,,,,,,,,,,,3
7/28/2016,13,19,32,36,41,,,,,,,,,,,,,3
8/1/2016,32,34,36,39,46,,,,,,,,,,,,,3
8/4/2016,8,22,41,54,56,,,,,,,,,,,,,1
8/8/2016,4,7,8,12,23,,,,,,,,,,,,,2
8/11/2016,3,34,44,53,55,,,,,,,,,,,,,2
8/15/2016,13,40,48,50,57,,,,,,,,,,,,,3
8/18/2016,7,24,25,56,58,,,,,,,,,,,,,2
8/22/2016,8,12,22,56,58,,,,,,,,,,,,,3
8/25/2016,10,17,24,47,59,,,,,,,,,,,,,3
8/29/2016,5,21,25,31,55,,,,,,,,,,,,,3
9/1/2016,17,45,46,51,53,,,,,,,,,,,,,1
9/5/2016,16,19,40,41,43,,,,,,,,,,,,,1
9/8/2016,3,7,22,37,60,,,,,,,,,,,,,1
9/12/2016,1,32,39,55,58,,,,,,,,,,,,,2
9/15/2016,11,20,54,59,60,,,,,,,,,,,,,3
9/19/2016,19,40,49,54,56,,,,,,,,,,,,,1
9/22/2016,1,3,24,42,59,,,,,,,,,,,,,1
9/26/2016,36,44,50,54,60,,,,,,,,,,,,,1
9/29/2016,13,25,39,51,55,,,,,,,,,,,,,4
10/3/2016,5,48,49,52,58,,,,,,,,,,,,,2
10/6/2016,5,7,9,12,43,,,,,,,,,,,,,3
10/10/2016,11,35,38,45,58,,,,,,,,,,,,,4
10/13/2016,3,19,21,26,43,,,,,,,,,,,,,1
10/17/2016,4,16,35,37,55,,,,,,,,,,,,,4
10/20/2016,6,38,40,48,57,,,,,,,,,,,,,4
10/24/2016,1,2,20,40,55,,,,,,,,,,,,,3
10/27/2016,15,16,19,37,40,,,,,,,,,,,,,2
10/31/2016,17,25,38,41,58,,,,,,,,,,,,,3
11/3/2016,5,10,29,37,59,,,,,,,,,,,,,1
11/7/2016,9,11,20,37,60,,,,,,,,,,,,,4
11/10/2016,6,7,17,20,44,,,,,,,,,,,,,2
11/14/2016,3,10,20,30,43,,,,,,,,,,,,,4
11/17/2016,6,30,32,35,48,,,,,,,,,,,,,2
11/21/2016,8,11,37,41,54,,,,,,,,,,,,,3
11/24/2016,4,24,25,32,46,,,,,,,,,,,,,2
11/28/2016,22,32,42,45,49,,,,,,,,,,,,,2
12/1/2016,17,23,30,49,55,,,,,,,,,,,,,4
12/5/2016,5,6,19,22,45,,,,,,,,,,,,,2
12/8/2016,8,28,29,49,57,,,,,,,,,,,,,1
12/12/2016,14,19,48,53,54,,,,,,,,,,,,,2
12/15/2016,5,7,21,44,57,,,,,,,,,,,,,3
12/19/2016,1,8,16,22,47,,,,,,,,,,,,,2
12/22/2016,14,19,32,38,43,,,,,,,,,,,,,4
12/26/2016,4,12,29,31,36,,,,,,,,,,,,,2
12/29/2016,11,16,19,29,34,,,,,,,,,,,,,4
1/2/2017,26,31,37,38,41,,,,,,,,,,,,,4
1/5/2017,5,18,42,44,46,,,,,,,,,,,,,3
1/9/2017,21,28,31,44,51,,,,,,,,,,,,,1
1/12/2017,6,32,37,50,56,,,,,,,,,,,,,2
1/16/2017,3,15,16,19,26,,,,,,,,,,,,,4
1/19/2017,14,32,37,43,45,,,,,,,,,,,,,2
1/23/2017,16,24,32,44,48,,,,,,,,,,,,,3
1/26/2017,1,14,25,40,59,,,,,,,,,,,,,3
1/30/2017,11,20,31,34,51,,,,,,,,,,,,,2
2/2/2017,13,20,24,37,58,,,,,,,,,,,,,4
2/6/2017,6,24,48,54,59,,,,,,,,,,,,,1
2/9/2017,2,28,37,38,48,,,,,,,,,,,,,4
2/13/2017,17,18,24,25,41,,,,,,,,,,,,,4
2/16/2017,8,12,19,35,42,,,,,,,,,,,,,4
2/20/2017,13,16,23,37,48,,,,,,,,,,,,,1
2/23/2017,3,24,38,43,52,,,,,,,,,,,,,4
2/27/2017,6,19,28,57,60,,,,,,,,,,,,,2
3/2/2017,3,7,11,30,42,,,,,,,,,,,,,3
3/6/2017,1,5,14,22,50,,,,,,,,,,,,,3
3/9/2017,1,8,23,56,58,,,,,,,,,,,,,4
3/13/2017,13,16,17,24,50,,,,,,,,,,,,,4
3/16/2017,13,14,36,48,57,,,,,,,,,,,,,4
3/20/2017,13,22,41,46,56,,,,,,,,,,,,,4
3/23/2017,2,28,30,39,53,,,,,,,,,,,,,1
3/27/2017,32,42,58,59,60,,,,,,,,,,,,,1
3/30/2017,24,38,40,44,49,,,,,,,,,,,,,1
4/3/2017,12,15,28,46,57,,,,,,,,,,,,,4
4/6/2017,4,6,17,48,53,,,,,,,,,,,,,3
4/10/2017,20,22,37,55,56,,,,,,,,,,,,,1
4/13/2017,17,19,49,50,56,,,,,,,,,,,,,1
4/17/2017,5,9,12,33,46,,,,,,,,,,,,,4
4/20/2017,22,23,37,56,60,,,,,,,,,,,,,1
4/24/2017,19,33,35,36,48,,,,,,,,,,,,,4
4/27/2017,2,20,27,29,53,,,,,,,,,,,,,1
5/1/2017,7,19,23,24,40,,,,,,,,,,,,,2
5/4/2017,1,2,17,24,38,,,,,,,,,,,,,2
5/8/2017,22,34,42,46,57,,,,,,,,,,,,,4
5/11/2017,6,20,30,34,36,,,,,,,,,,,,,2
5/15/2017,2,27,28,34,39,,,,,,,,,,,,,3
5/18/2017,4,29,30,55,58,,,,,,,,,,,,,3
5/22/2017,4,6,25,31,47,,,,,,,,,,,,,4
5/25/2017,6,7,13,16,30,,,,,,,,,,,,,2
5/29/2017,18,22,23,25,49,,,,,,,,,,,,,2
6/1/2017,5,9,46,55,58,,,,,,,,,,,,,2
6/5/2017,3,29,32,48,56,,,,,,,,,,,,,3
6/8/2017,24,27,43,50,60,,,,,,,,,,,,,4
6/12/2017,10,11,44,53,57,,,,,,,,,,,,,1
6/15/2017,1,9,17,26,55,,,,,,,,,,,,,2
6/19/2017,2,10,15,33,58,,,,,,,,,,,,,2
6/22/2017,31,40,45,54,57,,,,,,,,,,,,,4
6/26/2017,8,33,39,40,49,,,,,,,,,,,,,2
6/29/2017,7,8,13,18,48,,,,,,,,,,,,,2
7/3/2017,4,28,40,41,48,,,,,,,,,,,,,2
7/6/2017,4,9,39,44,52,,,,,,,,,,,,,4
7/10/2017,13,19,34,38,53,,,,,,,,,,,,,2
7/13/2017,6,17,32,45,59,,,,,,,,,,,,,1
7/17/2017,8,17,27,28,39,,,,,,,,,,,,,3
7/20/2017,26,37,40,42,50,,,,,,,,,,,,,1
7/24/2017,7,20,21,41,59,,,,,,,,,,,,,1
7/27/2017,32,37,38,42,43,,,,,,,,,,,,,1
7/31/2017,7,9,47,54,60,,,,,,,,,,,,,3
8/3/2017,9,12,19,29,34,,,,,,,,,,,,,3
8/7/2017,6,20,25,32,50,,,,,,,,,,,,,2
8/10/2017,4,5,28,33,42,,,,,,,,,,,,,4
8/14/2017,8,20,31,36,39,,,,,,,,,,,,,3
8/17/2017,11,15,21,23,58,,,,,,,,,,,,,2
8/21/2017,7,8,12,35,39,,,,,,,,,,,,,4
8/24/2017,2,4,32,57,60,,,,,,,,,,,,,3
8/28/2017,4,9,20,42,46,,,,,,,,,,,,,3
8/31/2017,30,34,36,56,59,,,,,,,,,,,,,2
9/4/2017,2,11,20,36,46,,,,,,,,,,,,,3
9/7/2017,2,5,7,55,57,,,,,,,,,,,,,4
9/11/2017,26,34,42,48,57,,,,,,,,,,,,,2
9/14/2017,5,12,13,41,44,,,,,,,,,,,,,1
9/18/2017,4,21,26,35,42,,,,,,,,,,,,,1
9/21/2017,4,16,18,32,47,,,,,,,,,,,,,1
9/25/2017,7,26,53,55,56,,,,,,,,,,,,,3
9/28/2017,16,31,34,50,60,,,,,,,,,,,,,3
10/2/2017,10,35,38,48,57,,,,,,,,,,,,,2
10/5/2017,12,14,31,38,41,,,,,,,,,,,,,1
10/9/2017,18,20,38,42,44,,,,,,,,,,,,,1
10/12/2017,12,33,41,45,60,,,,,,,,,,,,,4
10/16/2017,3,11,32,49,55,,,,,,,,,,,,,2
10/19/2017,15,16,39,41,46,,,,,,,,,,,,,2
10/23/2017,16,31,34,41,57,,,,,,,,,,,,,1
10/26/2017,3,12,17,27,55,,,,,,,,,,,,,3
10/30/2017,6,22,23,36,42,,,,,,,,,,,,,3
11/2/2017,14,43,55,57,60,,,,,,,,,,,,,1
11/6/2017,4,10,22,24,42,,,,,,,,,,,,,2
11/9/2017,3,12,30,39,60,,,,,,,,,,,,,3
11/13/2017,9,17,21,29,58,,,,,,,,,,,,,1
11/16/2017,15,16,19,42,52,,,,,,,,,,,,,4
11/20/2017,3,4,22,38,59,,,,,,,,,,,,,1
11/23/2017,4,33,56,58,59,,,,,,,,,,,,,4
11/27/2017,25,27,42,50,57,,,,,,,,,,,,,1
11/30/2017,2,5,18,23,59,,,,,,,,,,,,,2
12/4/2017,16,17,46,51,52,,,,,,,,,,,,,2
12/7/2017,2,5,39,54,56,,,,,,,,,,,,,4
12/11/2017,2,16,30,40,53,,,,,,,,,,,,,4
12/14/2017,7,24,32,44,52,,,,,,,,,,,,,1
12/18/2017,8,9,12,21,45,,,,,,,,,,,,,3
12/21/2017,1,9,25,37,60,,,,,,,,,,,,,1
12/25/2017,2,18,34,42,57,,,,,,,,,,,,,3
12/28/2017,9,14,24,41,46,,,,,,,,,,,,,1
1/1/2018,12,18,20,31,38,,,,,,,,,,,,,3
1/4/2018,12,22,42,43,53,,,,,,,,,,,,,1
1/8/2018,3,11,44,47,58,,,,,,,,,,,,,4
1/11/2018,18,22,23,41,53,,,,,,,,,,,,,1
1/15/2018,12,25,31,33,58,,,,,,,,,,,,,2
1/18/2018,26,36,42,58,60,,,,,,,,,,,,,3
1/22/2018,1,5,10,28,57,,,,,,,,,,,,,3
1/25/2018,1,6,24,41,44,,,,,,,,,,,,,3
1/29/2018,6,11,14,16,52,,,,,,,,,,,,,3
2/1/2018,10,20,21,25,52,,,,,,,,,,,,,3
2/5/2018,30,36,39,55,60,,,,,,,,,,,,,1
2/8/2018,9,37,47,51,55,,,,,,,,,,,,,3
2/12/2018,1,5,17,21,33,,,,,,,,,,,,,3
2/15/2018,1,43,44,53,54,,,,,,,,,,,,,2
2/19/2018,10,16,23,31,53,,,,,,,,,,,,,2
2/22/2018,26,28,38,47,51,,,,,,,,,,,,,4
2/26/2018,29,31,40,45,59,,,,,,,,,,,,,1
3/1/2018,5,6,7,12,36,,,,,,,,,,,,,1
3/5/2018,1,47,52,54,58,,,,,,,,,,,,,4
3/8/2018,6,34,36,44,55,,,,,,,,,,,,,1
3/12/2018,5,29,35,36,49,,,,,,,,,,,,,3
3/15/2018,11,12,31,49,59,,,,,,,,,,,,,1
3/19/2018,3,26,30,51,53,,,,,,,,,,,,,3
3/22/2018,2,8,15,40,41,,,,,,,,,,,,,4
3/26/2018,2,9,23,47,54,,,,,,,,,,,,,2
3/29/2018,34,35,36,46,58,,,,,,,,,,,,,1
4/2/2018,7,12,21,24,40,,,,,,,,,,,,,4
4/5/2018,3,10,21,24,59,,,,,,,,,,,,,1
4/9/2018,10,19,29,45,48,,,,,,,,,,,,,2
4/12/2018,2,6,14,22,40,,,,,,,,,,,,,1
4/16/2018,8,11,15,26,50,,,,,,,,,,,,,1
4/19/2018,4,15,28,35,42,,,,,,,,,,,,,3
4/23/2018,16,21,22,47,52,,,,,,,,,,,,,1
4/26/2018,7,32,33,36,59,,,,,,,,,,,,,2
4/30/2018,2,11,14,45,49,,,,,,,,,,,,,2
5/3/2018,2,7,11,30,59,,,,,,,,,,,,,2
5/7/2018,4,15,19,22,51,,,,,,,,,,,,,2
5/10/2018,11,36,41,43,48,,,,,,,,,,,,,1
5/14/2018,1,4,6,13,32,,,,,,,,,,,,,3
5/17/2018,8,40,41,43,51,,,,,,,,,,,,,2
5/21/2018,8,18,22,37,44,,,,,,,,,,,,,2
5/24/2018,5,13,35,49,56,,,,,,,,,,,,,1
5/28/2018,13,29,31,34,47,,,,,,,,,,,,,1
5/31/2018,1,28,42,47,55,,,,,,,,,,,,,2
6/4/2018,4,13,30,38,53,,,,,,,,,,,,,4
6/7/2018,17,22,38,42,45,,,,,,,,,,,,,3
6/11/2018,14,32,33,43,55,,,,,,,,,,,,,2
6/14/2018,12,14,24,27,55,,,,,,,,,,,,,2
6/18/2018,4,27,28,40,59,,,,,,,,,,,,,4
6/21/2018,3,13,16,17,24,,,,,,,,,,,,,1
6/25/2018,12,33,37,55,58,,,,,,,,,,,,,4
7/2/2018,4,13,24,53,59,,,,,,,,,,,,,2
7/5/2018,16,21,28,31,44,,,,,,,,,,,,,4
7/9/2018,9,12,16,20,60,,,,,,,,,,,,,3
7/12/2018,1,20,28,48,56,,,,,,,,,,,,,4
7/16/2018,17,18,45,46,55,,,,,,,,,,,,,1
7/19/2018,9,12,20,38,52,,,,,,,,,,,,,2
7/23/2018,4,13,25,27,58,,,,,,,,,,,,,3
7/26/2018,2,20,33,38,45,,,,,,,,,,,,,2
7/30/2018,21,45,48,51,58,,,,,,,,,,,,,1
